cm : ClassModel
features0 : UMLMethod
features1 : UMLMethod
features2 : UMLMethod
features3 : UMLMethod
features4 : UMLMethod
features5 : UMLMethod
features6 : UMLMethod
features7 : UMLMethod
features8 : UMLMethod
features9 : UMLMethod
features10 : UMLMethod
features11 : UMLMethod
features12 : UMLMethod
features13 : UMLMethod
features14 : UMLMethod
features15 : UMLMethod
features16 : UMLMethod
features17 : UMLMethod
features18 : UMLMethod
features19 : UMLMethod
features20 : UMLMethod
features21 : UMLMethod
features22 : UMLMethod
features23 : UMLMethod
features24 : UMLMethod
features25 : UMLMethod
features26 : UMLMethod
features27 : UMLMethod
features28 : UMLMethod
features29 : UMLMethod
features30 : UMLMethod
features31 : UMLMethod
features32 : UMLMethod
features33 : UMLMethod
features34 : UMLMethod
features35 : UMLMethod
features36 : UMLMethod
features37 : UMLMethod
features38 : UMLMethod
features39 : UMLMethod
features40 : Attribute
features41 : Attribute
features42 : Attribute
features43 : Attribute
features44 : Attribute
features45 : Attribute
features46 : Attribute
features47 : Attribute
features48 : Attribute
features49 : Attribute
features50 : Attribute
features51 : Attribute
features52 : Attribute
features53 : Attribute
features54 : Attribute
features55 : Attribute
features56 : Attribute
features57 : Attribute
features58 : Attribute
features59 : Attribute
features60 : Attribute
features61 : Attribute
features62 : Attribute
features63 : Attribute
features64 : Attribute
features65 : Attribute
features66 : Attribute
features67 : Attribute
features68 : Attribute
features69 : Attribute
features70 : Attribute
features71 : Attribute
features72 : Attribute
features73 : Attribute
features74 : Attribute
features75 : Attribute
features76 : Attribute
features77 : Attribute
features78 : Attribute
features79 : Attribute
features0.name = "M31"
features43 : features0.dataDependency
features46 : features0.dataDependency
features78 : features0.dataDependency
features12 : features0.functionalDependency
features39 : features0.functionalDependency
features18 : features0.functionalDependency
features1.name = "M8"
features63 : features1.dataDependency
features71 : features1.dataDependency
features79 : features1.dataDependency
features12 : features1.functionalDependency
features32 : features1.functionalDependency
features16 : features1.functionalDependency
features2.name = "M13"
features40 : features2.dataDependency
features56 : features2.dataDependency
features72 : features2.dataDependency
features1 : features2.functionalDependency
features33 : features2.functionalDependency
features21 : features2.functionalDependency
features3.name = "M30"
features68 : features3.dataDependency
features56 : features3.dataDependency
features72 : features3.dataDependency
features2 : features3.functionalDependency
features8 : features3.functionalDependency
features16 : features3.functionalDependency
features4.name = "M12"
features66 : features4.dataDependency
features54 : features4.dataDependency
features68 : features4.dataDependency
features6 : features4.functionalDependency
features29 : features4.functionalDependency
features26 : features4.functionalDependency
features16 : features4.functionalDependency
features5.name = "M7"
features61 : features5.dataDependency
features53 : features5.dataDependency
features59 : features5.dataDependency
features8 : features5.functionalDependency
features36 : features5.functionalDependency
features16 : features5.functionalDependency
features6.name = "M11"
features40 : features6.dataDependency
features67 : features6.dataDependency
features69 : features6.dataDependency
features8 : features6.functionalDependency
features30 : features6.functionalDependency
features37 : features6.functionalDependency
features16 : features6.functionalDependency
features7.name = "M6"
features62 : features7.dataDependency
features47 : features7.dataDependency
features64 : features7.dataDependency
features75 : features7.dataDependency
features29 : features7.functionalDependency
features14 : features7.functionalDependency
features24 : features7.functionalDependency
features34 : features7.functionalDependency
features8.name = "M10"
features60 : features8.dataDependency
features43 : features8.dataDependency
features57 : features8.dataDependency
features77 : features8.dataDependency
features5 : features8.functionalDependency
features29 : features8.functionalDependency
features35 : features8.functionalDependency
features16 : features8.functionalDependency
features9.name = "M5"
features62 : features9.dataDependency
features71 : features9.dataDependency
features74 : features9.dataDependency
features78 : features9.dataDependency
features32 : features9.functionalDependency
features12 : features9.functionalDependency
features37 : features9.functionalDependency
features17 : features9.functionalDependency
features10.name = "M35"
features62 : features10.dataDependency
features63 : features10.dataDependency
features53 : features10.dataDependency
features59 : features10.dataDependency
features3 : features10.functionalDependency
features5 : features10.functionalDependency
features33 : features10.functionalDependency
features28 : features10.functionalDependency
features11.name = "M34"
features62 : features11.dataDependency
features53 : features11.dataDependency
features19 : features11.functionalDependency
features37 : features11.functionalDependency
features15 : features11.functionalDependency
features12.name = "M33"
features51 : features12.dataDependency
features65 : features12.dataDependency
features67 : features12.dataDependency
features57 : features12.dataDependency
features1 : features12.functionalDependency
features13 : features12.functionalDependency
features39 : features12.functionalDependency
features18 : features12.functionalDependency
features13.name = "M32"
features60 : features13.dataDependency
features63 : features13.dataDependency
features61 : features13.dataDependency
features66 : features13.dataDependency
features1 : features13.functionalDependency
features12 : features13.functionalDependency
features35 : features13.functionalDependency
features23 : features13.functionalDependency
features14.name = "M9"
features62 : features14.dataDependency
features46 : features14.dataDependency
features49 : features14.dataDependency
features71 : features14.dataDependency
features2 : features14.functionalDependency
features13 : features14.functionalDependency
features39 : features14.functionalDependency
features18 : features14.functionalDependency
features15.name = "M4"
features63 : features15.dataDependency
features67 : features15.dataDependency
features55 : features15.dataDependency
features57 : features15.dataDependency
features1 : features15.functionalDependency
features11 : features15.functionalDependency
features39 : features15.functionalDependency
features34 : features15.functionalDependency
features16.name = "M3"
features70 : features16.dataDependency
features72 : features16.dataDependency
features74 : features16.dataDependency
features76 : features16.dataDependency
features20 : features16.functionalDependency
features22 : features16.functionalDependency
features24 : features16.functionalDependency
features28 : features16.functionalDependency
features17.name = "M2"
features41 : features17.dataDependency
features57 : features17.dataDependency
features75 : features17.dataDependency
features58 : features17.dataDependency
features29 : features17.functionalDependency
features11 : features17.functionalDependency
features21 : features17.functionalDependency
features16 : features17.functionalDependency
features18.name = "M1"
features61 : features18.dataDependency
features65 : features18.dataDependency
features75 : features18.dataDependency
features29 : features18.functionalDependency
features8 : features18.functionalDependency
features13 : features18.functionalDependency
features39 : features18.functionalDependency
features19.name = "M38"
features48 : features19.dataDependency
features71 : features19.dataDependency
features55 : features19.dataDependency
features72 : features19.dataDependency
features0 : features19.functionalDependency
features5 : features19.functionalDependency
features4 : features19.functionalDependency
features17 : features19.functionalDependency
features20.name = "M39"
features62 : features20.dataDependency
features66 : features20.dataDependency
features57 : features20.dataDependency
features58 : features20.dataDependency
features2 : features20.functionalDependency
features38 : features20.functionalDependency
features15 : features20.functionalDependency
features28 : features20.functionalDependency
features21.name = "M36"
features40 : features21.dataDependency
features51 : features21.dataDependency
features70 : features21.dataDependency
features56 : features21.dataDependency
features9 : features21.functionalDependency
features10 : features21.functionalDependency
features11 : features21.functionalDependency
features15 : features21.functionalDependency
features22.name = "M18"
features44 : features22.dataDependency
features64 : features22.dataDependency
features54 : features22.dataDependency
features55 : features22.dataDependency
features0 : features22.functionalDependency
features5 : features22.functionalDependency
features29 : features22.functionalDependency
features37 : features22.functionalDependency
features23.name = "M37"
features43 : features23.dataDependency
features48 : features23.dataDependency
features67 : features23.dataDependency
features74 : features23.dataDependency
features5 : features23.functionalDependency
features9 : features23.functionalDependency
features20 : features23.functionalDependency
features24.name = "M19"
features68 : features24.dataDependency
features73 : features24.dataDependency
features56 : features24.dataDependency
features78 : features24.dataDependency
features8 : features24.functionalDependency
features31 : features24.functionalDependency
features33 : features24.functionalDependency
features18 : features24.functionalDependency
features25.name = "M16"
features52 : features25.dataDependency
features65 : features25.dataDependency
features53 : features25.dataDependency
features59 : features25.dataDependency
features0 : features25.functionalDependency
features39 : features25.functionalDependency
features15 : features25.functionalDependency
features28 : features25.functionalDependency
features26.name = "M17"
features69 : features26.dataDependency
